event_id,ra,dec,energy,arrival_time,instrument,t90_s
bn120426090,111.537,-65.631,2.1049e-05,56043.0897,Fermi-GBM,2.688
bn090625560,2.2618,-65.7803,2.3679e-06,55007.56,Fermi-GBM,13.056
bn130727698,330.799,-65.5384,8.1625e-06,56500.6982,Fermi-GBM,12.992
bn240905443,215.15,-65.53,2.6592e-06,60558.4427,Fermi-GBM,16.896
bn101023951,317.97,-65.3859,6.3694e-05,55492.9514,Fermi-GBM,76.801
bn170827818,48.79,-65.38,4.7114e-07,57992.8181,Fermi-GBM,0.832
bn200629535,338.46,-65.59,9.6925e-06,59029.5346,Fermi-GBM,28.16
bn110411629,210.3,-64.99,3.5843e-06,55662.6286,Fermi-GBM,23.552
bn161105417,249.25,-65.2167,9.5415e-06,57697.4172,Fermi-GBM,41.473
bn230715190,35.57,-65.18,3.4306e-05,60140.1899,Fermi-GBM,135.938
bn201217108,273.28,-65.13,5.7309e-06,59200.1077,Fermi-GBM,37.121
bn170210116,226.055,-65.101,9.6107e-05,57794.1164,Fermi-GBM,76.545
bn250206827,222.06,-65.03,2.4119e-05,60712.8275,Fermi-GBM,64.257
bn090924625,69.73,-65.02,5.5461e-07,55098.6249,Fermi-GBM,0.352
bn090602564,248.94,-65.02,2.7923e-06,54984.5642,Fermi-GBM,20.736
bn210317381,154.22,-64.94,2.0325e-05,59290.3809,Fermi-GBM,46.337
bn180528371,284.67,-65.02,7.1911e-07,58266.3706,Fermi-GBM,16.896
bn230316546,273.07,-64.93,9.17e-06,60019.5462,Fermi-GBM,30.913
bn190903722,62.43,-64.86,4.4683e-07,58729.7219,Fermi-GBM,0.272
bn260120168,345.9,-24.72,3.794e-06,61060.168,Fermi-GBM,3.84
bn190804058,108.02,-64.86,4.4761e-07,58699.058,Fermi-GBM,4.224
bn120921877,96.42,-64.77,2.4783e-06,56191.8771,Fermi-GBM,5.632
bn170126480,263.633,-64.7605,8.5363e-06,57779.4796,Fermi-GBM,13.824
bn150826557,317.97,-64.94,3.7751e-06,57260.5571,Fermi-GBM,33.024
bn090711850,139.61,-64.74,5.7921e-06,55023.8496,Fermi-GBM,51.969
bn180113418,174.63,-64.74,0.00016311,58131.4181,Fermi-GBM,24.576
bn091017985,214.4,-64.74,2.1468e-06,55121.9854,Fermi-GBM,44.8
bn081225257,234.1,-64.6,6.7467e-06,54825.2565,Fermi-GBM,41.217
bn101213849,260.99,-64.51,1.2894e-06,55543.8489,Fermi-GBM,5.12
bn230803061,158.41,-64.38,6.8251e-05,60159.0605,Fermi-GBM,87.554
bn150204272,160.241,-64.043,1.9351e-06,57057.2716,Fermi-GBM,11.008
bn110818860,317.337,-63.981,5.1538e-06,55791.8597,Fermi-GBM,67.073
bn220830319,239.77,-64.35,8.9214e-06,59821.3191,Fermi-GBM,61.441
bn150805445,95.76,-64.33,6.1044e-06,57239.4449,Fermi-GBM,45.825
bn181128129,10.27,-64.3,2.7689e-07,58450.1288,Fermi-GBM,1.728
bn241002260,333.77,-64.3,4.4295e-06,60585.2599,Fermi-GBM,64.256
bn190407575,90.53,-64.14,2.1343e-06,58580.5754,Fermi-GBM,58.88
bn140612294,267.38,-64.11,4.1045e-06,56820.2941,Fermi-GBM,38.913
bn260413572,87.0,-63.97,1.7088e-07,61143.572,Fermi-GBM,1.984
bn240516150,212.807,-63.4878,2.5512e-06,60446.1503,Fermi-GBM,46.337
bn250607584,243.84,-24.71,9.5054e-07,60833.584,Fermi-GBM,5.888
bn151117442,19.64,-64.1,8.7776e-06,57343.4424,Fermi-GBM,58.561
bn170127067,339.33,-63.94,5.5868e-06,57780.0665,Fermi-GBM,0.128
bn140508179,350.53,-63.78,3.3351e-06,56785.179,Fermi-GBM,19.456
bn190921699,338.38,-63.42,2.5786e-06,58747.6986,Fermi-GBM,22.272
bn250722465,313.45,-63.35,1.8678e-06,60878.4647,Fermi-GBM,58.624
bn211219910,68.54,-63.18,7.832e-06,59567.9096,Fermi-GBM,73.729
bn180602938,86.05,-62.78,2.0878e-07,58271.9383,Fermi-GBM,0.008
bn150403913,311.502,-62.7118,5.4707e-05,57115.9126,Fermi-GBM,22.272
bn250406610,6.25,-63.17,5.9394e-06,60771.6099,Fermi-GBM,20.992
bn200803149,311.29,-63.08,3.0893e-05,59064.1489,Fermi-GBM,118.274
bn250319203,335.24,-62.32,2.5327e-06,60753.2035,Fermi-GBM,58.113
bn190510120,124.54,-53.07,6.7014e-06,58613.1196,Fermi-GBM,69.633
bn130523198,39.49,-63.07,2.7096e-06,56435.1984,Fermi-GBM,5.376
bn180727594,346.665,-63.0505,3.9404e-07,58326.5941,Fermi-GBM,0.896
bn131105087,71.011,-62.981,2.3777e-05,56601.0867,Fermi-GBM,112.642
bn260322448,300.98,-61.78,8.853e-07,61121.4484,Fermi-GBM,4.864
bn131030653,61.45,-62.8,1.65e-06,56595.6531,Fermi-GBM,53.248
bn240127202,299.93,-62.79,1.1907e-07,60336.2019,Fermi-GBM,0.096
bn140422194,164.54,-62.62,4.7774e-06,56769.1936,Fermi-GBM,361.472
bn081204004,63.3,-62.6,1.0188e-06,54804.0038,Fermi-GBM,7.424
bn080905705,301.7,-62.6,2.9093e-06,54714.7054,Fermi-GBM,105.984
bn200117517,129.67,-62.51,4.4085e-06,58865.5167,Fermi-GBM,28.416
bn141016897,221.45,-62.49,3.579e-06,56946.8968,Fermi-GBM,17.405
bn090717034,92.41,-62.48,2.3235e-05,55029.0344,Fermi-GBM,65.537
bn121217313,153.71,-62.3505,6.7667e-06,56278.3125,Fermi-GBM,828.672
bn110521478,57.54,-62.34,3.6081e-06,55702.4785,Fermi-GBM,6.141
bn191031780,115.862,-62.335,1.106e-05,58787.7801,Fermi-GBM,77.825
bn111003465,276.76,-62.32,2.1043e-05,55837.4653,Fermi-GBM,16.64
bn180625941,39.13,-62.31,3.2452e-07,58294.9408,Fermi-GBM,0.704
bn170906485,34.86,-62.28,4.3647e-07,58002.4849,Fermi-GBM,45.568
bn230729294,0.55,-62.25,1.1692e-07,60154.2936,Fermi-GBM,0.832
