event_id,energy,arrival_time,ra,dec,instrument,epoch
bn100429999,2.7847e-06,55315.9999,89.09,-69.96,Fermi-GBM,fermi_lat_grb_catalog
bn230415474,2.3746e-07,60049.4736,61.71,-69.94,Fermi-GBM,fermi_lat_grb_catalog
bn230723194,3.4556e-07,60148.1936,22.909,-67.059,Fermi-GBM,fermi_lat_grb_catalog
bn250721401,2.5082e-06,60877.4012,82.805,-25.592,Fermi-GBM,fermi_lat_grb_catalog
bn180630335,2.9586e-06,58299.3354,133.07,-69.94,Fermi-GBM,fermi_lat_grb_catalog
bn120107384,6.532e-06,55933.3835,246.4,-69.93,Fermi-GBM,fermi_lat_grb_catalog
bn080905570,4.0911e-06,54714.5705,96.9,-69.8,Fermi-GBM,fermi_lat_grb_catalog
bn220730659,9.3652e-07,59790.659,225.021,-69.497,Fermi-GBM,fermi_lat_grb_catalog
bn251102886,1.706e-06,60981.886,110.62,-69.71,Fermi-GBM,fermi_lat_grb_catalog
bn131204937,1.6482e-06,56630.9368,309.67,-69.67,Fermi-GBM,fermi_lat_grb_catalog
bn180804931,8.1538e-06,58334.931,109.36,-69.32,Fermi-GBM,fermi_lat_grb_catalog
bn140322424,2.0052e-06,56738.4243,250.3,-69.45,Fermi-GBM,fermi_lat_grb_catalog
bn210520797,2.8451e-06,59354.7966,123.0,-69.4,Fermi-GBM,fermi_lat_grb_catalog
bn150902733,8.3192e-05,57267.7331,214.926,-69.361,Fermi-GBM,fermi_lat_grb_catalog
bn170625692,1.9512e-06,57929.6915,106.7,-69.35,Fermi-GBM,fermi_lat_grb_catalog
bn240519213,8.1484e-06,60449.2132,293.91,-69.35,Fermi-GBM,fermi_lat_grb_catalog
bn090725838,2.3588e-06,55037.8377,281.88,-69.49,Fermi-GBM,fermi_lat_grb_catalog
bn130218261,9.4331e-06,56341.2614,69.31,-69.13,Fermi-GBM,fermi_lat_grb_catalog
bn130420422,3.7707e-06,56402.4223,117.06,-69.03,Fermi-GBM,fermi_lat_grb_catalog
bn081226044,4.303e-07,54826.0442,120.5,-69.0,Fermi-GBM,fermi_lat_grb_catalog
bn221203537,8.1981e-07,59916.5368,355.06,-68.97,Fermi-GBM,fermi_lat_grb_catalog
bn240107803,6.2274e-06,60316.8031,292.46,-68.3,Fermi-GBM,fermi_lat_grb_catalog
bn171024977,9.4493e-07,58050.9773,210.53,-68.91,Fermi-GBM,fermi_lat_grb_catalog
bn250210230,4.3891e-06,60716.2303,150.29,-25.47,Fermi-GBM,fermi_lat_grb_catalog
bn180804765,3.5109e-06,58334.7655,139.67,-68.9,Fermi-GBM,fermi_lat_grb_catalog
bn090411838,6.6659e-06,54932.8379,156.0,-68.9,Fermi-GBM,fermi_lat_grb_catalog
bn240807238,6.7686e-07,60529.238,300.967,-68.7861,Fermi-GBM,fermi_lat_grb_catalog
bn250804960,5.3965e-06,60891.9601,1.37,-68.7,Fermi-GBM,fermi_lat_grb_catalog
bn181022846,7.6459e-07,58413.8462,216.26,-65.29,Fermi-GBM,fermi_lat_grb_catalog
bn221021388,1.367e-05,59873.3878,218.71,-68.58,Fermi-GBM,fermi_lat_grb_catalog
bn240222369,4.8433e-07,60362.3691,143.248,-68.029,Fermi-GBM,fermi_lat_grb_catalog
bn210126417,3.9751e-06,59240.4167,70.68,-67.94,Fermi-GBM,fermi_lat_grb_catalog
bn250828500,1.5602e-06,60915.5,218.31,-68.26,Fermi-GBM,fermi_lat_grb_catalog
bn231025283,3.5159e-07,60242.2826,190.96,-53.08,Fermi-GBM,fermi_lat_grb_catalog
bn250317004,1.0841e-06,60751.0038,148.24,-25.44,Fermi-GBM,fermi_lat_grb_catalog
bn221201517,1.8118e-05,59914.5172,266.923,-68.251,Fermi-GBM,fermi_lat_grb_catalog
bn090719063,4.6848e-05,55031.0635,341.27,-67.86,Fermi-GBM,fermi_lat_grb_catalog
bn260102883,2.416e-07,61042.8834,60.66,-67.83,Fermi-GBM,fermi_lat_grb_catalog
bn180906759,3.6221e-06,58367.7586,270.12,-67.67,Fermi-GBM,fermi_lat_grb_catalog
bn100605774,7.5654e-07,55352.7744,273.43,-67.6,Fermi-GBM,fermi_lat_grb_catalog
bn110316139,1.1497e-07,55636.1387,46.7,-67.58,Fermi-GBM,fermi_lat_grb_catalog
bn231123809,2.2087e-06,60271.8093,163.24,-67.55,Fermi-GBM,fermi_lat_grb_catalog
bn191220589,1.8048e-05,58837.5892,211.77,-67.51,Fermi-GBM,fermi_lat_grb_catalog
bn160716144,2.8781e-06,57585.1436,189.61,-68.04,Fermi-GBM,fermi_lat_grb_catalog
bn180703876,1.6251e-05,58302.8762,6.54,-67.1,Fermi-GBM,fermi_lat_grb_catalog
bn240422112,8.4572e-07,60422.1118,255.61,-67.43,Fermi-GBM,fermi_lat_grb_catalog
bn081006604,8.3329e-07,54745.6039,142.0,-67.4,Fermi-GBM,fermi_lat_grb_catalog
bn090524346,1.6588e-05,54975.3458,329.5,-67.4,Fermi-GBM,fermi_lat_grb_catalog
bn150404733,6.1093e-07,57116.7327,165.91,-67.37,Fermi-GBM,fermi_lat_grb_catalog
bn180723133,5.2896e-07,58322.1325,130.03,-67.15,Fermi-GBM,fermi_lat_grb_catalog
bn100719311,3.8679e-07,55396.3113,304.87,-67.14,Fermi-GBM,fermi_lat_grb_catalog
bn090819607,2.7212e-07,55062.6073,49.08,-67.12,Fermi-GBM,fermi_lat_grb_catalog
bn200908886,1.2339e-06,59100.8859,169.53,-66.97,Fermi-GBM,fermi_lat_grb_catalog
bn131118958,6.754e-05,56614.9576,349.863,-66.833,Fermi-GBM,fermi_lat_grb_catalog
bn170323775,3.7589e-06,57835.7753,348.83,-66.81,Fermi-GBM,fermi_lat_grb_catalog
bn181128751,1.5219e-06,58450.7513,182.82,-66.74,Fermi-GBM,fermi_lat_grb_catalog
bn251208393,8.59e-07,61017.393,32.83,-66.66,Fermi-GBM,fermi_lat_grb_catalog
bn181208188,8.1001e-06,58460.188,104.11,-66.66,Fermi-GBM,fermi_lat_grb_catalog
bn260129421,6.0222e-07,61069.4215,0.36,-67.05,Fermi-GBM,fermi_lat_grb_catalog
bn140109877,1.492e-07,56666.8774,24.09,-25.05,Fermi-GBM,fermi_lat_grb_catalog
bn180906597,3.7165e-06,58367.5971,104.81,-67.02,Fermi-GBM,fermi_lat_grb_catalog
bn111107035,9.073e-07,55872.035,129.478,-66.52,Fermi-GBM,fermi_lat_grb_catalog
bn190420981,6.538e-07,58593.9808,319.29,-66.41,Fermi-GBM,fermi_lat_grb_catalog
bn250823840,9.7246e-07,60910.8404,297.521,-24.976,Fermi-GBM,fermi_lat_grb_catalog
bn151003729,1.3475e-06,57298.7292,60.34,-66.37,Fermi-GBM,fermi_lat_grb_catalog
bn090926181,0.00014657,55100.1809,353.401,-66.3239,Fermi-GBM,fermi_lat_grb_catalog
bn220518717,3.61e-07,59717.7166,293.32,-66.21,Fermi-GBM,fermi_lat_grb_catalog
bn211216282,9.3273e-06,59564.2819,44.36,-64.35,Fermi-GBM,fermi_lat_grb_catalog
bn150628767,2.6488e-07,57201.7666,347.02,-66.18,Fermi-GBM,fermi_lat_grb_catalog
bn220124074,2.7243e-06,59603.0743,274.51,-66.17,Fermi-GBM,fermi_lat_grb_catalog
bn110911071,5.9377e-07,55815.0706,258.58,-66.98,Fermi-GBM,fermi_lat_grb_catalog
bn180723757,4.3311e-05,58322.7568,7.84,-66.11,Fermi-GBM,fermi_lat_grb_catalog
bn160303971,1.3771e-06,57450.9712,302.2,-65.68,Fermi-GBM,fermi_lat_grb_catalog
bn120919816,1.1356e-06,56189.8165,303.53,-66.16,Fermi-GBM,fermi_lat_grb_catalog
bn240613991,9.7873e-07,60474.9907,262.18,-66.14,Fermi-GBM,fermi_lat_grb_catalog
bn200130248,5.9173e-06,58878.2481,329.29,-65.93,Fermi-GBM,fermi_lat_grb_catalog
bn101011707,2.7101e-06,55480.7074,48.3,-65.9,Fermi-GBM,fermi_lat_grb_catalog
bn240112541,3.0525e-06,60321.5413,8.21,-65.87,Fermi-GBM,fermi_lat_grb_catalog
bn250619984,1.4878e-06,60845.9835,25.37,-24.75,Fermi-GBM,fermi_lat_grb_catalog
bn120426090,2.1049e-05,56043.0897,111.537,-65.631,Fermi-GBM,fermi_lat_grb_catalog
bn090625560,2.3679e-06,55007.56,2.2618,-65.7803,Fermi-GBM,fermi_lat_grb_catalog
bn130727698,8.1625e-06,56500.6982,330.799,-65.5384,Fermi-GBM,fermi_lat_grb_catalog
bn240905443,2.6592e-06,60558.4427,215.15,-65.53,Fermi-GBM,fermi_lat_grb_catalog
bn101023951,6.3694e-05,55492.9514,317.97,-65.3859,Fermi-GBM,fermi_lat_grb_catalog
bn170827818,4.7114e-07,57992.8181,48.79,-65.38,Fermi-GBM,fermi_lat_grb_catalog
bn200629535,9.6925e-06,59029.5346,338.46,-65.59,Fermi-GBM,fermi_lat_grb_catalog
bn110411629,3.5843e-06,55662.6286,210.3,-64.99,Fermi-GBM,fermi_lat_grb_catalog
bn161105417,9.5415e-06,57697.4172,249.25,-65.2167,Fermi-GBM,fermi_lat_grb_catalog
bn230715190,3.4306e-05,60140.1899,35.57,-65.18,Fermi-GBM,fermi_lat_grb_catalog
bn201217108,5.7309e-06,59200.1077,273.28,-65.13,Fermi-GBM,fermi_lat_grb_catalog
bn170210116,9.6107e-05,57794.1164,226.055,-65.101,Fermi-GBM,fermi_lat_grb_catalog
bn250206827,2.4119e-05,60712.8275,222.06,-65.03,Fermi-GBM,fermi_lat_grb_catalog
bn090924625,5.5461e-07,55098.6249,69.73,-65.02,Fermi-GBM,fermi_lat_grb_catalog
bn090602564,2.7923e-06,54984.5642,248.94,-65.02,Fermi-GBM,fermi_lat_grb_catalog
bn210317381,2.0325e-05,59290.3809,154.22,-64.94,Fermi-GBM,fermi_lat_grb_catalog
bn180528371,7.1911e-07,58266.3706,284.67,-65.02,Fermi-GBM,fermi_lat_grb_catalog
bn230316546,9.17e-06,60019.5462,273.07,-64.93,Fermi-GBM,fermi_lat_grb_catalog
bn190903722,4.4683e-07,58729.7219,62.43,-64.86,Fermi-GBM,fermi_lat_grb_catalog
bn260120168,3.794e-06,61060.168,345.9,-24.72,Fermi-GBM,fermi_lat_grb_catalog
bn190804058,4.4761e-07,58699.058,108.02,-64.86,Fermi-GBM,fermi_lat_grb_catalog
bn120921877,2.4783e-06,56191.8771,96.42,-64.77,Fermi-GBM,fermi_lat_grb_catalog
bn170126480,8.5363e-06,57779.4796,263.633,-64.7605,Fermi-GBM,fermi_lat_grb_catalog
bn150826557,3.7751e-06,57260.5571,317.97,-64.94,Fermi-GBM,fermi_lat_grb_catalog
bn090711850,5.7921e-06,55023.8496,139.61,-64.74,Fermi-GBM,fermi_lat_grb_catalog
bn180113418,0.00016311,58131.4181,174.63,-64.74,Fermi-GBM,fermi_lat_grb_catalog
bn091017985,2.1468e-06,55121.9854,214.4,-64.74,Fermi-GBM,fermi_lat_grb_catalog
bn081225257,6.7467e-06,54825.2565,234.1,-64.6,Fermi-GBM,fermi_lat_grb_catalog
bn101213849,1.2894e-06,55543.8489,260.99,-64.51,Fermi-GBM,fermi_lat_grb_catalog
bn230803061,6.8251e-05,60159.0605,158.41,-64.38,Fermi-GBM,fermi_lat_grb_catalog
bn150204272,1.9351e-06,57057.2716,160.241,-64.043,Fermi-GBM,fermi_lat_grb_catalog
bn110818860,5.1538e-06,55791.8597,317.337,-63.981,Fermi-GBM,fermi_lat_grb_catalog
bn220830319,8.9214e-06,59821.3191,239.77,-64.35,Fermi-GBM,fermi_lat_grb_catalog
bn150805445,6.1044e-06,57239.4449,95.76,-64.33,Fermi-GBM,fermi_lat_grb_catalog
bn181128129,2.7689e-07,58450.1288,10.27,-64.3,Fermi-GBM,fermi_lat_grb_catalog
bn241002260,4.4295e-06,60585.2599,333.77,-64.3,Fermi-GBM,fermi_lat_grb_catalog
bn190407575,2.1343e-06,58580.5754,90.53,-64.14,Fermi-GBM,fermi_lat_grb_catalog
bn140612294,4.1045e-06,56820.2941,267.38,-64.11,Fermi-GBM,fermi_lat_grb_catalog
bn260413572,1.7088e-07,61143.572,87.0,-63.97,Fermi-GBM,fermi_lat_grb_catalog
bn240516150,2.5512e-06,60446.1503,212.807,-63.4878,Fermi-GBM,fermi_lat_grb_catalog
bn250607584,9.5054e-07,60833.584,243.84,-24.71,Fermi-GBM,fermi_lat_grb_catalog
bn151117442,8.7776e-06,57343.4424,19.64,-64.1,Fermi-GBM,fermi_lat_grb_catalog
bn170127067,5.5868e-06,57780.0665,339.33,-63.94,Fermi-GBM,fermi_lat_grb_catalog
bn140508179,3.3351e-06,56785.179,350.53,-63.78,Fermi-GBM,fermi_lat_grb_catalog
