condition,detector_overlap,bin_index,screen_position,probability,hit_count
two_slit_coherent,1.0,113,5.42713568,1.1921490265993557,155
two_slit_coherent,1.0,114,5.82914573,1.0918529976378144,145
two_slit_coherent,1.0,115,6.23115578,0.9906858679100448,119
two_slit_coherent,1.0,116,6.63316583,0.8896967660226336,128
two_slit_coherent,1.0,117,7.03517588,0.7899284860483364,82
two_slit_coherent,1.0,118,7.43718593,0.6924061219355588,84
two_slit_coherent,1.0,119,7.83919598,0.5981259357610693,58
two_slit_coherent,1.0,120,8.24120603,0.5080445850961572,73
two_slit_coherent,1.0,121,8.64321608,0.4230688302233938,50
two_slit_coherent,1.0,122,9.04522613,0.344045836010503,35
two_slit_coherent,1.0,123,9.44723618,0.2717541759943154,40
two_slit_coherent,1.0,124,9.84924623,0.2068956377418011,25
two_slit_coherent,1.0,125,10.25125628,0.1500879189416875,17
two_slit_coherent,1.0,126,10.65326633,0.1018582930573999,14
two_slit_coherent,1.0,127,11.05527638,0.06263831186989355,5
two_slit_coherent,1.0,128,11.45728643,0.0327595999974416,6
two_slit_coherent,1.0,129,11.85929648,0.012450783646996255,4
two_slit_coherent,1.0,130,12.26130653,0.0018355825832784278,1
two_slit_coherent,1.0,131,12.66331658,0.0009320807568037326,0
two_slit_coherent,1.0,132,13.06532663,0.00965317737279836,0
two_slit_coherent,1.0,133,13.46733668,0.027808206572236593,2
two_slit_coherent,1.0,134,13.86934673,0.05510570049550445,11
two_slit_coherent,1.0,135,14.27135678,0.09115725746666448,15
two_slit_coherent,1.0,136,14.67336683,0.13548246452492785,10
two_slit_coherent,1.0,137,15.07537688,0.18751481168559359,17
two_slit_coherent,1.0,138,15.47738693,0.24660852427252355,29
two_slit_coherent,1.0,139,15.87939698,0.31204622955476735,51
two_slit_coherent,1.0,140,16.28140704,0.38304736668450956,60
two_slit_coherent,1.0,141,16.68341709,0.4587772283235967,67
two_slit_coherent,1.0,142,17.08542714,0.5383565533983009,72
two_slit_coherent,1.0,143,17.48743719,0.6208715227595751,65
two_slit_coherent,1.0,144,17.88944724,0.7053840671502478,76
two_slit_coherent,1.0,145,18.29145729,0.7909423576850505,86
two_slit_coherent,1.0,146,18.69346734,0.8765913599031688,110
two_slit_coherent,1.0,147,19.09547739,0.9613833309808884,120
two_slit_coherent,1.0,148,19.49748744,1.0443881413318281,133
two_slit_coherent,1.0,149,19.89949749,1.1247033048439012,141
two_slit_coherent,1.0,150,20.30150754,1.2014636063588666,151
two_slit_coherent,1.0,151,20.70351759,1.2738502206297206,173
two_slit_coherent,1.0,152,21.10552764,1.3410992238159367,168
